Category,Label,English,Translation
Stent,Stent01,Stent noted in RCA. ,Stent in RCA festgestellt. 
Stent,Stent02,Stent noted in LAD. ,Stent in LAD festgestellt. 
Stent,Stent03,Stent noted in LCX. ,Stent in LCX festgestellt. 
Stent,Stent04,Stents noted in RCA and LCX. ,Stents in RCA und LCX festgestellt. 
Stent,Stent05,"Stents noted in RCA, LCX and LAD. ","Stents in RCA, LCX und LAD festgestellt.   "
Stent,Stent06,Coronary stent noted. ,Koronarstent festgestellt. 
Stent,Stent07,Coronary stent(s) noted. ,Koronare(r) Stent(s) festgestellt.  
